iter	Passed	Remaining
0	2	278
1	5	253
2	7	256
3	10	249
4	13	254
5	16	260
6	19	264
7	22	264
8	26	265
9	29	267
10	33	268
11	36	267
12	39	266
13	43	268
14	47	266
15	50	263
16	53	261
17	57	260
18	60	259
19	64	258
20	67	255
21	71	255
22	75	252
23	78	248
24	81	245
25	85	242
26	88	239
27	91	236
28	94	232
29	98	230
30	102	228
31	106	225
32	109	222
33	113	219
34	116	216
35	120	213
36	123	210
37	127	207
38	130	204
39	133	200
40	137	197
41	138	191
42	142	188
43	145	185
44	149	182
45	152	179
46	156	175
47	159	172
48	162	169
49	165	165
50	169	162
51	172	159
52	175	155
53	178	152
54	181	148
55	184	144
56	187	141
57	190	138
58	194	135
59	197	131
60	201	128
61	204	125
62	207	121
63	211	118
64	214	115
65	217	112
66	221	108
67	224	105
68	227	102
69	230	98
70	234	95
71	237	92
72	241	89
73	244	85
74	247	82
75	251	79
76	254	76
77	257	72
78	261	69
79	264	66
80	268	62
81	271	59
82	274	56
83	278	53
84	282	49
85	285	46
86	288	43
87	292	39
88	296	36
89	299	33
90	302	29
91	305	26
92	309	23
93	312	19
94	316	16
95	319	13
96	322	9
97	325	6
98	328	3
99	332	0
